"","Site","Date","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12"
"51","Bantou",2004-08-01,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181,0.0508349351584911,0.0976982889696956,0.447615302378132,5.34447365254164,8.32598780816601,8.39530721306801
"52","Bantou",2004-08-15,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312,0.0680622458457947,0.0939885070547462,0.183275542912945,3.85971934348345,4.80288557852468,8.98791179060936
"53","Bantou",2004-09-01,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181,0.0508349351584911,0.0976982889696956,0.447615302378132,5.34447365254164,8.32598780816601
"54","Bantou",2004-09-15,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312,0.0680622458457947,0.0939885070547462,0.183275542912945,3.85971934348345,4.80288557852468
"55","Bantou",2004-10-01,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181,0.0508349351584911,0.0976982889696956,0.447615302378132,5.34447365254164
"56","Bantou",2004-10-15,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312,0.0680622458457947,0.0939885070547462,0.183275542912945,3.85971934348345
"57","Bantou",2004-11-01,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181,0.0508349351584911,0.0976982889696956,0.447615302378132
"58","Bantou",2004-11-15,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312,0.0680622458457947,0.0939885070547462,0.183275542912945
"59","Bantou",2004-12-01,0.972046636766003,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181,0.0508349351584911,0.0976982889696956
"60","Bantou",2004-12-15,0.19533452487761,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312,0.0680622458457947,0.0939885070547462
"61","Bantou",2005-01-01,0.0793907735496759,0.972046636766003,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181,0.0508349351584911
"62","Bantou",2005-01-15,0.142547370865941,0.19533452487761,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312,0.0680622458457947
"63","Bantou",2005-02-01,0.0631565973162651,0.0793907735496759,0.972046636766003,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905,0.072599728902181
"64","Bantou",2005-02-15,0.0668017268180847,0.142547370865941,0.19533452487761,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947,0.0400968511899312
"65","Bantou",2005-03-01,0.205363655912465,0.0631565973162651,0.0793907735496759,0.972046636766003,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985,0.347272258251905
"66","Bantou",2005-03-15,0.354974241092287,0.0668017268180847,0.142547370865941,0.19533452487761,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314,1.29612903296947
"67","Bantou",2005-04-01,0.611843075603247,0.205363655912465,0.0631565973162651,0.0793907735496759,0.972046636766003,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486,3.12027585890985
"68","Bantou",2005-04-15,1.63460815325379,0.354974241092287,0.0668017268180847,0.142547370865941,0.19533452487761,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577,3.23617506796314
"69","Bantou",2005-05-01,2.55375745219569,0.611843075603247,0.205363655912465,0.0631565973162651,0.0793907735496759,0.972046636766003,2.70953125506639,7.10420508538523,9.00731872022152,8.92347869277,6.55114769166516,2.32640754431486
"70","Bantou",2005-05-15,3.17445375842433,1.63460815325379,0.354974241092287,0.0668017268180847,0.142547370865941,0.19533452487761,2.51589689403772,4.90457270991418,9.5630815923214,5.79157280921936,9.88105343234155,4.21928429603577
"71","Tanganya",2002-07-01,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785,0.310080585069954,1.39080923987973,5.80344642698765,7.97537994384766,12.8079346120358,12.2688542306423
"72","Tanganya",2002-07-15,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0,0.146643743850291,1.28151495225968,3.74386889860034,7.64716456013341,10.3110983669758,13.4871980845928
"73","Tanganya",2002-08-01,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785,0.310080585069954,1.39080923987973,5.80344642698765,7.97537994384766,12.8079346120358
"74","Tanganya",2002-08-15,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0,0.146643743850291,1.28151495225968,3.74386889860034,7.64716456013341,10.3110983669758
"75","Tanganya",2002-09-01,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785,0.310080585069954,1.39080923987973,5.80344642698765,7.97537994384766
"76","Tanganya",2002-09-15,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0,0.146643743850291,1.28151495225968,3.74386889860034,7.64716456013341
"77","Tanganya",2002-10-01,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785,0.310080585069954,1.39080923987973,5.80344642698765
"78","Tanganya",2002-10-15,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0,0.146643743850291,1.28151495225968,3.74386889860034
"79","Tanganya",2002-11-01,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785,0.310080585069954,1.39080923987973
"80","Tanganya",2002-11-15,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0,0.146643743850291,1.28151495225968
"81","Tanganya",2002-12-01,0.76470471197559,6.51024734228849,9.89676961591167,10.7923104912043,9.72618314623833,5.44047947852842,4.11895215511322,1.0419882189843,0.44310687482357,0.179091087703047,0.102263402193785,0.310080585069954
"82","Tanganya",2002-12-15,0.673068665689038,4.87077162414789,6.88219749542975,10.1374150812626,12.1146512925625,6.905815293712,5.37809647619724,2.67239335275465,0.323786586523056,0.310754854103615,0,0.146643743850291
