"","Variable","training","validation","vi","Type","Range"
"154","Frac_bare.25","Mean",NA,0.0068399242,"Land cover",25
"155","Frac_bare.50","GTB","GTA",0,"Land cover",50
"156","Frac_bare.50","GTB","SLTA",0.0063151834,"Land cover",50
"157","Frac_bare.50","GTA","GTB",0.010541758,"Land cover",50
"158","Frac_bare.50","GTA","SLTA",0.012137344,"Land cover",50
"159","Frac_bare.50","SLTA","GTB",0.008138865,"Land cover",50
"160","Frac_bare.50","SLTA","GTA",0.0080953175,"Land cover",50
"161","Frac_bare.50","Mean",NA,0.00753807798333333,"Land cover",50
"162","Frac_bare.500","GTB","GTA",0,"Land cover",500
"163","Frac_bare.500","GTB","SLTA",0.009724986,"Land cover",500
"164","Frac_bare.500","GTA","GTB",0.043271,"Land cover",500
"165","Frac_bare.500","GTA","SLTA",0.012899783,"Land cover",500
"166","Frac_bare.500","SLTA","GTB",0.00876937,"Land cover",500
"167","Frac_bare.500","SLTA","GTA",0.0080491025,"Land cover",500
"168","Frac_bare.500","Mean",NA,0.0137857069166667,"Land cover",500
"169","Frac_burn.100","GTB","GTA",0,"Land cover",100
"170","Frac_burn.100","GTB","SLTA",0.0013394596,"Land cover",100
"171","Frac_burn.100","GTA","GTB",0.0021996372,"Land cover",100
"172","Frac_burn.100","GTA","SLTA",0.022782343,"Land cover",100
"173","Frac_burn.100","SLTA","GTB",0.012920998,"Land cover",100
"174","Frac_burn.100","SLTA","GTA",0.01156785,"Land cover",100
"175","Frac_burn.100","Mean",NA,0.0084683813,"Land cover",100
"176","Frac_burn.1000","GTB","GTA",0,"Land cover",1000
"177","Frac_burn.1000","GTB","SLTA",0.001964076,"Land cover",1000
"178","Frac_burn.1000","GTA","GTB",0.008652357,"Land cover",1000
"179","Frac_burn.1000","GTA","SLTA",0.015591059,"Land cover",1000
"180","Frac_burn.1000","SLTA","GTB",0.008637867,"Land cover",1000
"181","Frac_burn.1000","SLTA","GTA",0.008137397,"Land cover",1000
"182","Frac_burn.1000","Mean",NA,0.00716379266666666,"Land cover",1000
"183","Frac_burn.200","GTB","GTA",0,"Land cover",200
"184","Frac_burn.200","GTB","SLTA",0,"Land cover",200
"185","Frac_burn.200","GTA","GTB",0,"Land cover",200
"186","Frac_burn.200","GTA","SLTA",0.0031795888,"Land cover",200
"187","Frac_burn.200","SLTA","GTB",0.012230738,"Land cover",200
"188","Frac_burn.200","SLTA","GTA",0.011391102,"Land cover",200
"189","Frac_burn.200","Mean",NA,0.0044669048,"Land cover",200
"190","Frac_burn.25","GTB","GTA",0,"Land cover",25
"191","Frac_burn.25","GTB","SLTA",0,"Land cover",25
"192","Frac_burn.25","GTA","GTB",0.000998364,"Land cover",25
"193","Frac_burn.25","GTA","SLTA",0.010460566,"Land cover",25
