test_site,ji,Model_Type,model_name,house_num,house_name,constraints,prob
Bantou,0,NullRandom,Random,0,All,Spatial,0.44025157232704404
Bantou,0,Model,BRT,0,All,Spatial,0.601823708206687
Bantou,0,TS,Optimal,0,All,Spatial,1
Bantou,1,NullSmart,Buildings,0,All,Spatial,0.7602040816326531
Bantou,1,NullRandom,Random,0,All,Spatial,0.5677083333333334
Bantou,1,Model,BRT,0,All,Spatial,0.5846153846153846
Bantou,1,TS,Optimal,0,All,Spatial,1
Bantou,2,NullSmart,Buildings,0,All,Spatial,0.7777777777777778
Bantou,2,NullRandom,Random,0,All,Spatial,0.45454545454545453
Bantou,2,Model,BRT,0,All,Spatial,0.6361386138613861
Bantou,2,TS,Optimal,0,All,Spatial,1
Bantou,3,NullSmart,Buildings,0,All,Spatial,0.7730061349693251
Bantou,3,NullRandom,Random,0,All,Spatial,0.48502994011976047
Bantou,3,Model,BRT,0,All,Spatial,0.64
Bantou,3,TS,Optimal,0,All,Spatial,1
Bantou,4,NullSmart,Buildings,0,All,Spatial,0.7540106951871658
Bantou,4,NullRandom,Random,0,All,Spatial,0.48295454545454547
Bantou,4,Model,BRT,0,All,Spatial,0.6181318681318682
Bantou,4,TS,Optimal,0,All,Spatial,1
Bantou,5,NullSmart,Buildings,0,All,Spatial,0.7563451776649747
Bantou,5,NullRandom,Random,0,All,Spatial,0.40816326530612246
Bantou,5,Model,BRT,0,All,Spatial,0.6377952755905512
Bantou,5,TS,Optimal,0,All,Spatial,1
Bantou,6,NullSmart,Buildings,0,All,Spatial,0.7241379310344828
Bantou,6,NullRandom,Random,0,All,Spatial,0.42011834319526625
Bantou,6,Model,BRT,0,All,Spatial,0.5807365439093485
Bantou,6,TS,Optimal,0,All,Spatial,1
Bantou,7,NullSmart,Buildings,0,All,Spatial,0.7052023121387283
Bantou,7,NullRandom,Random,0,All,Spatial,0.5393939393939394
Bantou,7,Model,BRT,0,All,Spatial,0.6464088397790055
Bantou,7,TS,Optimal,0,All,Spatial,1
Bantou,8,NullSmart,Buildings,0,All,Spatial,0.76
Bantou,8,NullRandom,Random,0,All,Spatial,0.425531914893617
Bantou,8,Model,BRT,0,All,Spatial,0.622478386167147
Bantou,8,TS,Optimal,0,All,Spatial,1
Bantou,9,NullSmart,Buildings,0,All,Spatial,0.7357512953367875
Bantou,9,NullRandom,Random,0,All,Spatial,0.5515463917525774
Bantou,9,Model,BRT,0,All,Spatial,0.6377952755905512
Bantou,9,TS,Optimal,0,All,Spatial,1
Bantou,10,NullSmart,Buildings,0,All,Spatial,0.7740112994350282
Bantou,10,NullRandom,Random,0,All,Spatial,0.4294117647058823
Bantou,10,Model,BRT,0,All,Spatial,0.646551724137931
Bantou,10,TS,Optimal,0,All,Spatial,1
Bantou,11,NullSmart,Buildings,0,All,Spatial,0.8117647058823529
Bantou,11,NullRandom,Random,0,All,Spatial,0.4827586206896552
Bantou,11,Model,BRT,0,All,Spatial,0.6104972375690608
Bantou,11,TS,Optimal,0,All,Spatial,1
Bantou,12,NullSmart,Buildings,0,All,Spatial,0.7447916666666666
Bantou,12,NullRandom,Random,0,All,Spatial,0.49230769230769234
Bantou,12,Model,BRT,0,All,Spatial,0.6412213740458015
Bantou,12,TS,Optimal,0,All,Spatial,1
Bantou,13,NullSmart,Buildings,0,All,Spatial,0.8
Bantou,13,NullRandom,Random,0,All,Spatial,0.5445544554455446
Bantou,13,Model,BRT,0,All,Spatial,0.6021220159151194
Bantou,13,TS,Optimal,0,All,Spatial,1
Bantou,14,NullSmart,Buildings,0,All,Spatial,0.7717391304347826
Bantou,14,NullRandom,Random,0,All,Spatial,0.5193370165745856
Bantou,14,Model,BRT,0,All,Spatial,0.6580976863753213
Bantou,14,TS,Optimal,0,All,Spatial,1
Bantou,15,NullSmart,Buildings,0,All,Spatial,0.7616580310880829
Bantou,15,NullRandom,Random,0,All,Spatial,0.44021739130434784
Bantou,15,Model,BRT,0,All,Spatial,0.5691056910569106
Bantou,15,TS,Optimal,0,All,Spatial,1
Bantou,16,NullSmart,Buildings,0,All,Spatial,0.7578947368421053
Bantou,16,NullRandom,Random,0,All,Spatial,0.49746192893401014
Bantou,16,Model,BRT,0,All,Spatial,0.6334164588528678
Bantou,16,TS,Optimal,0,All,Spatial,1
Bantou,17,NullSmart,Buildings,0,All,Spatial,0.7777777777777778
Bantou,17,NullRandom,Random,0,All,Spatial,0.5536723163841808
Bantou,17,Model,BRT,0,All,Spatial,0.6043360433604336
Bantou,17,TS,Optimal,0,All,Spatial,1
Bantou,18,NullSmart,Buildings,0,All,Spatial,0.735
Bantou,18,NullRandom,Random,0,All,Spatial,0.5099009900990099
Bantou,18,Model,BRT,0,All,Spatial,0.5955334987593052
Bantou,18,TS,Optimal,0,All,Spatial,1
Bantou,19,NullSmart,Buildings,0,All,Spatial,0.7602339181286549
Bantou,19,NullRandom,Random,0,All,Spatial,0.48255813953488375
Bantou,19,Model,BRT,0,All,Spatial,0.5739644970414202
Bantou,19,TS,Optimal,0,All,Spatial,1
Bantou,20,NullSmart,Buildings,0,All,Spatial,0.7634408602150538
Bantou,20,NullRandom,Random,0,All,Spatial,0.4853801169590643
Bantou,20,Model,BRT,0,All,Spatial,0.5948275862068966
Bantou,20,TS,Optimal,0,All,Spatial,1
Bantou,21,NullSmart,Buildings,0,All,Spatial,0.7790055248618785
Bantou,21,NullRandom,Random,0,All,Spatial,0.5363128491620112
Bantou,21,Model,BRT,0,All,Spatial,0.6613333333333333
Bantou,21,TS,Optimal,0,All,Spatial,1
Bantou,22,NullSmart,Buildings,0,All,Spatial,0.7307692307692307
Bantou,22,NullRandom,Random,0,All,Spatial,0.53
Bantou,22,Model,BRT,0,All,Spatial,0.6111111111111112
Bantou,22,TS,Optimal,0,All,Spatial,1
Bantou,23,NullSmart,Buildings,0,All,Spatial,0.7305699481865285
Bantou,23,NullRandom,Random,0,All,Spatial,0.536723163841808
Bantou,23,Model,BRT,0,All,Spatial,0.6127450980392157
Bantou,23,TS,Optimal,0,All,Spatial,1
Bantou,24,NullSmart,Buildings,0,All,Spatial,0.7796610169491526
Bantou,24,NullRandom,Random,0,All,Spatial,0.5
Bantou,24,Model,BRT,0,All,Spatial,0.6212534059945504
Bantou,24,TS,Optimal,0,All,Spatial,1
Bantou,0,NullSmart,Buildings,2,Outside,Spatial,0.5869565217391305
Bantou,0,NullRandom,Random,2,Outside,Spatial,0.5486111111111112
Bantou,0,Model,BRT,2,Outside,Spatial,0.5535055350553506
Bantou,0,TS,Optimal,2,Outside,Spatial,1
Bantou,1,NullSmart,Buildings,2,Outside,Spatial,0.7037037037037037
Bantou,1,NullRandom,Random,2,Outside,Spatial,0.472
Bantou,1,Model,BRT,2,Outside,Spatial,0.5255474452554745
Bantou,1,TS,Optimal,2,Outside,Spatial,1
Bantou,2,NullSmart,Buildings,2,Outside,Spatial,0.6993006993006993
Bantou,2,NullRandom,Random,2,Outside,Spatial,0.5319148936170213
Bantou,2,Model,BRT,2,Outside,Spatial,0.5480427046263345
Bantou,2,TS,Optimal,2,Outside,Spatial,1
Bantou,3,NullSmart,Buildings,2,Outside,Spatial,0.6413793103448275
Bantou,3,NullRandom,Random,2,Outside,Spatial,0.42207792207792205
